label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit;left2_pxcount;left2_fruitcount;left2_maxfruit;left2_minfruit;right2_pxcount;right2_fruitcount;right2_maxfruit;right2_minfruit
18;35761729;15;67034;8178;37371756;6;269367;5;35663020;13;91300;2
18;35400337;18;58783;4368;34004993;10;69455;1140;39385714;10;126135;0
18;34902286;16;71379;7392;41279723;8;118431;13809;35832063;12;74561;68
18;34499568;18;42196;4200;36148111;13;65798;1037;31662595;12;89179;125
18;34514849;17;73378;49;38706058;7;158754;0;35801101;12;123823;15
18;35635912;18;46038;4590;39394345;11;94741;0;35001484;11;58258;200
18;33836464;18;37975;8983;34338710;12;55412;1370;34804776;12;81324;80
18;32699004;16;47471;4586;33963203;9;69398;14778;37320994;11;96954;106
18;34591233;17;40705;3201;38214851;12;76474;54;36935503;10;121586;1577
18;33551980;18;41261;8169;36622188;12;54846;1682;37185124;10;63271;2517
18;33932387;19;43855;22;36306448;14;57035;36;37883324;8;95393;13
18;35245599;18;75947;141;39630345;11;90079;1119;33924852;7;134784;15568
18;31039700;17;49824;5888;30826994;11;77942;0;31789997;12;62054;244
18;31854332;16;44581;2666;37152500;15;84167;0;33710525;13;54145;47
18;34393161;17;43092;918;40123565;16;66106;2;31006675;8;71315;6188
18;30067542;16;38663;1847;38482855;12;77386;266;31410309;12;54248;7578
18;32255451;18;44937;282;36358992;15;84810;0;33510542;15;97404;0
18;29971088;18;41887;5258;36908411;12;76978;750;32112111;14;45193;1217
18;35401220;15;42026;15774;38661592;8;84284;3553;37794461;11;66638;55
19;31170466;18;43081;0;42315133;14;116449;0;29035352;10;79084;0
19;32924375;15;41328;11957;39396899;10;111083;9579;34689557;11;77170;359
19;34721404;19;41367;463;44792598;15;67100;920;30825361;10;91508;4397
19;32855028;18;41928;1015;41376996;10;85974;4;33100433;12;60421;3247
