label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
27;37251001;25;55535;20
27;41698259;22;40193;6
27;37885184;28;72888;0
27;39901084;22;72332;2
27;38325796;20;48983;106
27;39081281;20;73521;101
27;42534131;27;62594;15
27;40210446;19;49909;88
27;38665204;24;51390;57
27;39543980;24;53006;7
27;36808641;18;65126;0
27;35420492;22;71804;0
27;37288090;23;47259;74
27;39027785;22;74120;12
27;35699778;22;76918;6
27;38176581;26;60825;0
27;39306018;28;61104;8
27;38095829;24;65308;8
27;38672706;24;49650;124
27;39929149;23;69487;0
27;43184585;22;56599;25
27;38172561;25;46869;119
27;37260111;25;57700;15
27;39893129;21;69434;7
27;36068245;19;71856;41
27;39684222;24;57138;66
27;42269621;20;64109;5
27;40669189;23;44771;35
28;39985268;25;42436;83
28;43422927;30;63947;0
28;42948795;27;58181;13
28;40527299;21;71817;38
28;40980966;23;66506;0
28;40273175;28;49307;0
28;37388022;21;54870;35
28;39617619;21;64128;262
28;38316825;21;51845;2
28;38093141;26;58607;37
28;39646566;21;63293;23
28;40660969;23;45331;7
28;38421968;23;49179;4
28;36911687;22;76272;9
28;38505544;23;88441;205
28;39150960;24;54855;46
28;38379246;25;71734;2
28;38509543;25;63279;40
28;41390289;27;50980;38
28;43857915;29;76461;0
28;38073406;24;64535;2
28;37708686;24;75761;2
28;37230196;18;106993;202
28;43477620;27;48832;2
28;37250436;24;71734;15
28;39817897;27;65264;52
28;37940500;21;74458;33
28;39525387;25;87082;42
28;35369460;18;89453;25
28;42616917;29;63769;4
28;42960428;23;52831;4
28;39517199;23;86402;1
28;38521451;17;80977;321
28;40553465;21;69338;15
28;38067386;17;67766;94
28;40492171;23;109208;49
28;40786305;24;47951;14
28;37762701;21;82069;6
28;41290108;25;64943;1
28;41828312;27;40805;0
29;42229400;25;56617;6
29;41476472;20;50716;96
29;40037897;25;66559;0
29;43392868;28;64684;49
29;38434137;22;77122;12
29;41024453;17;72946;55
29;42356106;31;80809;0
29;39374698;18;75376;2
29;38958216;24;46469;0
29;46444549;26;63857;8
29;37680313;22;51070;57
29;40218143;27;71909;10
29;44411328;30;50159;1
29;37276774;24;84091;4
29;37708685;23;55041;1
29;43370803;23;63338;3
29;39057177;29;54224;8
29;37361622;23;79890;85
29;40572811;27;47253;109
29;41994406;26;96319;48
29;38906333;24;66706;0
29;38216467;24;84275;0
29;37095183;21;64686;19
29;40197548;22;55686;19
29;41669866;21;50179;106
29;39861240;23;64182;59
29;39274722;23;49976;7
29;39797366;23;90266;7
29;42471532;27;50942;4
29;38591356;22;57248;106
29;41893895;25;51676;0
29;39522530;25;55227;33
29;39222109;27;57940;3
29;39678923;14;77294;222
29;40662627;25;68608;27
29;38001045;25;65933;21
29;38684828;26;70203;38
29;41290627;20;88934;18
29;39938965;23;70182;2
30;40784755;24;55045;85
30;40609275;25;42500;0
30;40557578;27;54280;17
30;41693950;27;53912;1
30;40342124;24;84014;15
30;39631209;33;48606;11
30;41937633;28;50262;6
30;37949559;19;65219;106
30;40916564;22;54736;82
30;42535008;27;42044;44
30;41194332;26;51864;5
30;40522535;22;45424;5
30;37965548;27;64080;34
30;38728237;21;49450;191
30;38529552;21;46594;3
30;40774399;30;46931;0
30;41316598;28;68335;5
30;40825094;25;45631;0
30;40360420;28;56610;2
30;44229602;28;40665;68
30;44041145;23;65156;28
30;44309131;27;61539;11
30;40677471;24;83718;33
30;39971386;22;67647;63
30;38174185;20;75765;67
30;41808539;20;82024;231
30;44033480;27;51993;0
30;39049354;26;50374;60
30;42721959;26;45499;76
30;41263216;25;55139;20
30;41840027;25;41106;153
30;37260098;19;64229;44
30;42038982;26;50710;66
30;40394456;29;50223;0
30;38626153;20;44318;228
30;37627031;25;57069;17
30;44689590;33;56264;15
30;42398074;22;71712;183
30;41082383;30;40358;89
30;37433407;21;68901;22
31;44233369;27;56530;1
31;41074078;21;85308;5
31;40575895;25;63612;66
31;39862618;20;76337;31
31;37426149;23;55366;19
31;43261278;24;62418;83
31;43003807;26;70084;0
31;41218680;26;51903;4
31;37011218;19;87897;10
31;38463140;23;95965;80
31;43142965;20;60678;26
31;40925094;19;101768;17
31;43260708;26;42397;29
31;41409245;25;51502;12
31;43696923;24;59441;75
31;41141471;27;90506;7
31;44011647;22;61016;2
31;42866186;26;43266;149
31;44439359;24;57129;0
31;38328415;18;69678;200
31;38057830;25;48815;47
31;38283236;20;71053;44
31;38930195;29;111481;10
31;39826087;20;55426;0
31;39043461;25;63990;2
31;39043910;23;46561;61
31;40763105;30;42491;58
31;43703693;24;44667;30
31;44025443;24;70886;3
31;38782163;22;81861;40
31;42918464;23;46671;287
31;38642821;27;56034;1
31;45081201;20;95390;0
31;44915907;25;64261;1
31;45551920;34;62229;0
31;38352585;23;60790;25
31;38872760;28;93314;0
31;42138044;29;54003;28
31;42038686;23;50256;4
31;40758169;25;113099;4
32;39520516;24;41289;20
32;42845448;26;62251;84
32;44656493;26;52852;35
32;43551891;29;49215;34
32;45291126;28;47098;0
32;41322187;28;72020;4
32;39110756;30;95880;50
32;40841829;24;45154;102
32;43337319;30;37932;138
32;43757614;21;70378;0
32;44571225;30;103973;2
32;44523944;30;48457;24
32;42718410;29;59454;0
32;39965383;24;43850;91
32;41036168;23;63032;41
32;39760610;29;48740;0
32;40755396;31;47918;8
32;44650439;25;45573;0
32;45934248;29;57204;2
32;44480328;24;43393;23
32;38956426;25;66567;0
32;39220942;23;53476;0
32;41310813;31;41788;0
32;39024668;25;51312;0
32;45077342;29;54039;19
32;43357557;33;44954;0
32;45614589;31;54301;22
32;42055840;30;81122;11
32;37112360;22;125231;0
32;41601252;24;70154;2
32;45075643;27;49603;4
32;43624132;30;73166;69
32;44627636;27;46736;24
32;37992032;24;61784;73
32;45363342;28;49797;53
32;39329195;22;53422;9
32;42964445;30;91165;0
32;42902315;28;55432;2
32;45095499;27;63839;36
32;39111857;24;48336;19
33;43235900;28;57563;19
33;45835211;28;87890;113
33;40602459;26;40141;0
33;43867228;30;50742;0
33;40738210;24;42731;57
33;44316175;27;92981;31
33;45898735;25;56325;32
33;44918568;28;57875;61
33;39136553;27;82523;0
33;44546993;26;78708;34
33;45818241;27;65687;0
33;43297296;23;73930;18
33;43139405;20;51345;613
33;42997433;27;40180;1
